Question,Answer,Keywords
"Bagaimana cara mendaftar santri baru di Al-Ikhsan?","Pendaftaran santri baru dilakukan secara online. Silakan kunjungi website resmi kami di https://www.alikhsan-beji.app/. Di sana, Anda bisa membuat akun, mengisi formulir biodata, dan mengunggah berkas yang diperlukan.","cara daftar, pendaftaran, registrasi, online, website"
"Apa saja syarat dokumen yang harus disiapkan untuk mendaftar?","Biasanya dokumen standar meliputi KK, Akta Kelahiran, foto berwarna, dan ijazah terakhir. Namun, untuk detail pastinya, silakan login ke https://www.alikhsan-beji.app/ dan cek menu persyaratan di dashboard pendaftaran.","syarat, dokumen, berkas, kk, akta"
"Berapa biaya pendaftaran dan biaya bulanan di Pondok Pesantren Al-Ikhsan?","Untuk rincian biaya pendaftaran (uang pangkal) dan syahriyah (bulanan) terbaru, informasinya tersedia lengkap di dashboard https://www.alikhsan-beji.app/ setelah Anda membuat akun. Biaya kami relatif terjangkau dengan fasilitas pendidikan salaf dan modern.","biaya, harga, uang gedung, syahriyah, bayar"
"Apakah di sini hanya belajar agama atau bisa sambil sekolah formal?","Di Al-Ikhsan, kami menerapkan sistem integrasi Salaf dan Modern. Santri bisa mondok sambil sekolah formal di Madrasah Ibtidaiyah (MI), Madrasah Tsanawiyah (MTs), atau Madrasah Aliyah (MA) yang berada di bawah naungan yayasan.","sekolah formal, sekolah umum, mi, mts, ma, salaf modern"
"Apa itu program AEDS yang ada di Al-Ikhsan?","AEDS adalah singkatan dari Arabic and English Development Skills. Ini adalah program unggulan kami untuk mengembangkan kemampuan dua bahasa (Arab dan Inggris) santri, baik aktif maupun pasif, guna mencetak santri yang siap Go International.","aeds, bahasa, inggris, arab, program unggulan"
"Bagaimana sistem pendidikan di Pondok Pesantren Al-Ikhsan?","Kami menggabungkan dua sistem: Salaf (ala Lirboyo) untuk penguasaan kitab kuning, dan Modern (ala Gontor) untuk pengembangan bahasa Arab dan Inggris. Ini sesuai dengan visi kami mencetak muslim berilmu, berbudi luhur, dan mandiri.","sistem pendidikan, kurikulum, salaf, modern, gontor, lirboyo"
"Saya lupa password akun pendaftaran saya, bagaimana solusinya?","Jangan khawatir. Silakan buka halaman login di https://www.alikhsan-beji.app/, lalu klik tombol 'Lupa Password' atau 'Forgot Password'. Ikuti instruksi yang dikirim ke email Anda untuk mereset kata sandi.","lupa password, reset sandi, tidak bisa login, akun"
"Dimana alamat lengkap Pondok Pesantren Al-Ikhsan?","Kami berlokasi di Desa Beji I, Kecamatan Kedungbanteng, Kabupaten Banyumas, Jawa Tengah, Kode Pos 53152. Lokasinya sekitar 5 km ke arah utara dari kota Purwokerto, menuju arah wisata Baturraden.","alamat, lokasi, peta, banyumas, purwokerto"
"Apakah orang tua boleh menjenguk santri? Kapan jadwalnya?","Wali santri diperbolehkan menjenguk (sambangan) sesuai jadwal yang ditentukan pondok agar tidak mengganggu kegiatan belajar. Biasanya hari Jumat atau Minggu. Mohon konfirmasi ke pengurus pondok melalui kontak yang tersedia sebelum datang.","jenguk, sambangan, kunjungan, orang tua, jadwal"
"Siapa pengasuh Pondok Pesantren Al-Ikhsan saat ini?","Saat ini Pondok Pesantren Al-Ikhsan diasuh oleh Kiai Achmad Shodiq Muchtar Idris Al-Hafiz, meneruskan perjuangan pendiri KH. Abu Chamid.","pengasuh, kiai, kyai, pimpinan, pengurus"
